SETresp,IdCiclo,SAP,IdCL,TipoBaja,Categoria,Componente,Motivo,FechaHora,PAD,Destino,ConCL
"3",,"12157794",,"REAC","Falla mayor (Equipo no operativo)","Cardan largo","rompe cardan ","1/18/2022 3:23 AM","RDMN-28","Base Añelo","No"
"3",,"12589528",,"REAC","Falla mayor (Equipo no operativo)","N/A","rompe admision ","1/19/2022 3:25 AM","RDMN-28","Base Añelo","No"
"3",,"11647244",,"REAC","Falla mayor (Equipo no operativo)","N/A","baja","1/21/2022 3:45 AM","RDMN-28","Base Añelo","No"
"3",,"12468286",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","baja fisurada","1/21/2022 8:41 AM","RDMN-28","Base Añelo","No"
"3",,"12468286",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","baja fisurada","1/21/2022 8:41 AM","RDMN-28","Base Añelo","No"
"2",,"11452211",,"REAC","Falla mayor (Equipo no operativo)","Transmision","transmision","1/21/2022 5:03 PM","FdP-1281","Base Añelo","No"
"2",,"12506570",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","Los tres prensas agarrados","1/21/2022 5:11 PM","FdP-1281","Base Añelo","No"
"2",,"12153244",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","fisura en piston 3","1/21/2022 5:29 PM","FdP-1281","Base Añelo","No"
"2",,"13038511",,"REAC","Falla mayor (Equipo no operativo)","Sistema eléctrico o electronico","El equipo tiene problemas electrónicos.","1/21/2022 7:35 PM","FdP-1281","Base Añelo","Yes"
"2",,"13038511",,"REAC","Falla mayor (Equipo no operativo)","Sistema hidraulico","Problema con los módulos CAN.","1/21/2022 7:42 PM","FdP-1281","Base Añelo","Yes"
"2",,"12108478",,"REAC","Falla mayor (Equipo no operativo)","N/A","sfsdfs","1/21/2022 10:51 PM","FdP-1281","Base Añelo","No"
"2",,"13038511",,"REAC","Falla mayor (Equipo no operativo)","Sistema eléctrico o electronico","Problemas con módulos CAN","1/21/2022 8:00 PM","FdP-1281","Base Añelo","Yes"
"2",,"13038511",,"REAC","Falla mayor (Equipo no operativo)","Sistema eléctrico o electronico","Problemas con módulos CAN. Lavar radiadores.","1/21/2022 8:18 PM","FdP-1281","Base Añelo","Yes"
"2",,"12468283",,"REAC","Falla mayor (Equipo no operativo)","Motor","joijo","1/21/2022 11:24 PM","FdP-1281","Base Añelo","No"
"2",,"11754304",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","Falla en alojamiento asiento succion 1er piston","1/21/2022 11:27 PM","FdP-1281","Base Añelo","No"
"2",,"13038538",,"PRED","Predictivo (SKF)","Power-End","Pedida por IEM","1/21/2022 11:29 PM","FdP-1281","Base Añelo","No"
"2",,"11317872",,,"Mecanico","Transmision","perdida en cuadro de caja","1/22/2022 7:37 AM","FdP-1281","Base Añelo","No"
"3",,"13038520",,"REAC","Falla mayor (Equipo no operativo)","Motor","abrsadera de turbo de alta roto","1/22/2022 4:48 PM","RDMN-28","Base Añelo","No"
"3",,"13038511",,"REAC","Falla mayor (Equipo no operativo)","Transmision","problema de transmision","1/22/2022 6:12 PM","RDMN-28","Base Añelo","Yes"
"3",,"12468286",,"REAC","Falla mayor (Equipo no operativo)","N/A","Problemas en fluid end. Bomba ya esta en base revisando","1/22/2022 6:16 PM","RDMN-28","Base Añelo","No"
