PSL,SubPSL,SAP Profit Center,Plant,Material,Description,SAP Base UOM,Unit Value L31
Production Enhancement,Other Production Enhancement,6001070700,1600,102848934,"TRANS,ALLISON,9823 OFS,CEC5, CAT 3512",EA,115000
Production Enhancement,Other Production Enhancement,6001070700,1600,739417,HAL COE HDD (LEGAL),EA,555.53
Production Enhancement,Frac / Acid Summary,6001010016,1602,100000592,"V,CHK,1/8,FEM INL,MALE OUT,WTH 70 DURO",EA,25.38
Production Enhancement,Frac / Acid Summary,6001010016,1602,100000924,VALVE - CHECK - CHECK-ALL - 1 IN. -,EA,81.23
Production Enhancement,Frac / Acid Summary,6001010016,1602,100000946,"O-RING,90 DURO,1 1/16 X 7/8 X 3/32",EA,0.06
Production Enhancement,Frac / Acid Summary,6001010016,1602,100000974,"O-RING,5 X 4 3/4 X 1/8,568-248,90 DURO",EA,0.62
Production Enhancement,Frac / Acid Summary,6001010016,1602,100000975,"O-RING,5-1/4 X 5 X 1/8,568-250,90D,DATE",EA,0.65
Production Enhancement,Frac / Acid Summary,6001010016,1602,100000979,"O-RING,90 DURO,5 3/4 X 5 1/2,1/8",EA,0.77354
Production Enhancement,Frac / Acid Summary,6001010016,1602,100000993,"O-RING,90 DURO,6 3/8 X 6 X 3/16,568-361",EA,1.02
Production Enhancement,Frac / Acid Summary,6001010016,1602,100000996,"SPR,2 IN,10000# TY A-4,CHK V",EA,3.96
Production Enhancement,Frac / Acid Summary,6001010016,1602,100001010,"VLV,LO TORC,1 X 2,15K PSI WP,2-1502-NXT",EA,763.95
Production Enhancement,Frac / Acid Summary,6001010016,1602,100001011,"VLV,CHK,HALL,2 IN,15K WP,1502 ENDS",EA,1143.67
Production Enhancement,Frac / Acid Summary,6001010016,1602,100001012,"STEM ASSY,2 IN 15000 PSI,WP CHK V W 2 IN",EA,101.09
Production Enhancement,Frac / Acid Summary,6001010016,1602,100001023,1 IN STD SVCE LO TORC VLV,EA,125.8
Production Enhancement,Frac / Acid Summary,6001010016,1602,100001057,"VLV,BTFL,2 IN,NITRILE SEAT-DI DISC-DI BD",EA,78.5
Production Enhancement,Frac / Acid Summary,6001010016,1602,100001095,"SEAT,BTFL,V-3 IN,BNO-12N-NIT,SUPERSEDES",EA,10.98
Production Enhancement,Frac / Acid Summary,6001010016,1602,100001101,"DISC,BTFL,V-3 IN,D,12-DUC I SUPERSEDES",EA,15.87
Production Enhancement,Frac / Acid Summary,6001010016,1602,100001104,"OTD - SEAL,END,BIG IN,3 IN BORE,20000 WP",EA,91.13
Production Enhancement,Frac / Acid Summary,6001010016,1602,100001106,"CAGE,SLIP-IN,3 IN CV,INT SPR PROTR,INVST",EA,35.58
Production Enhancement,Frac / Acid Summary,6001010016,1602,100001109,"SEAT,3 IN 15 KSI DART CHK VLV,3 1502 THD",EA,262.48
Production Enhancement,Frac / Acid Summary,6001010016,1602,100001110,"STEM ASSY,3 IN 15000 WP CHK V",EA,77.55
Production Enhancement,Frac / Acid Summary,6001010016,1602,100001112,"VLV,CHK,FLPR,3 IN,15 KSI,3 IN 1502 UNN",EA,1670.17
Production Enhancement,Frac / Acid Summary,6001010016,1602,100001114,"RTNR,SEAL,3 IN FO FLPR CHK VLV",EA,54.87
Production Enhancement,Frac / Acid Summary,6001010016,1602,100001115,"HNGE,FLPR,F/ 3/8 DIA HNGE PIN,CHK V",EA,14.45
Production Enhancement,Frac / Acid Summary,6001010016,1602,100001116,"SEAL,CHK V,FLPR,3 IN FO,SPEC 70.72000",EA,16.62
Production Enhancement,Frac / Acid Summary,6001010016,1602,100001118,"FLPR,3 IN FO CHKVLV,SPHER,CARBURIZED",EA,54.95
Production Enhancement,Frac / Acid Summary,6001010016,1602,100001121,"INSR,WR,CARBURIZED,3 IN HI- RATE CHK V",EA,384.27
Production Enhancement,Frac / Acid Summary,6001010016,1602,100001122,STEM ASSY - 3 IN HI-RATE CHECK VALVE,EA,326.96
Production Enhancement,Frac / Acid Summary,6001010016,1602,100001123,"SEAT,CHK V,3 IN HI-RATE,15 KSI,1502 NUT",EA,673.19
Production Enhancement,Frac / Acid Summary,6001010016,1602,100001125,"VLV,PLG,LO TORC,3 IN,15000 WP,1502 UNN",EA,5028.92
Production Enhancement,Frac / Acid Summary,6001010016,1602,100001137,"VLV,BTFL,3 IN,NITRILE SEAT-DI DISC-DI BD",EA,88.1
Production Enhancement,Frac / Acid Summary,6001010016,1602,100001142,"KIT,REPR,3 1/16 IN STD SERV LO TORC,5000",EA,705.87
Production Enhancement,Frac / Acid Summary,6001010016,1602,100001145,"STEM,BTFL,V-4 IN,UPR-12-410,STNLS STL",EA,20.07
Production Enhancement,Frac / Acid Summary,6001010016,1602,100001146,"SEAT,BTFL,V-4 IN,BNO-12-NIT,SUPERSEDES",EA,15.85
