SAP,Equipo,Patente,SET,,,,,,,,
12171601, 100 KWA disy.,,SET 1,,,,,,,,
12505303, Generador 135 KWA,,SET 4,,,,,,,,
12562739,ADP,AA157LI,SET 1,,,,,,,,
13044822,ADP,AD742SL,SET 2,,,,,,,,
12506584,ADP,ORA339,SET 2,,,,,,,,
13001128,ADP,AE460RG,SET 3,,,,,,,,
13215064,APT,AE314DP,SET 1,,,,,,,,
13214019,APT,AD936EI,SET 2,,,,,,,,
13279413,APT,sin dominio,SET 3,,,,,,,,
13045580,BACKSIDE,sin dominio,SET 4,,,,,,,,
10084293,BOOSTER,AOG187,SET 4,,,,,,,,
11690761,C.Conveyor,sin dominio,SET 4,,,,,,,,
11917433,C.Conveyor,sin dominio,SET 4,,,,,,,,
12041112,C.Conveyor,sin dominio,SET 4,,,,,,,,
12580070,C.Conveyor,sin dominio,SET 4,,,,,,,,
12632077,C.Conveyor,AA157KU,SET 4,,,,,,,,
11561905,C.Conveyor,sin dominio,SET 4,,,,,,,,
11898827,C.Conveyor,sin dominio,SET 4,,,,,,,,
12871538,C.Conveyor,AB539RI,SET 4,,,,,,,,
12604756,C.Conveyor,AA743IM,SET 4,,,,,,,,
13083850,CASILLA,AC819KN,SET 4,,,,,,,,
13083849,CASILLA,AC819KO,SET 4,,,,,,,,
13083848,CASILLA,AC819KP,SET 4,,,,,,,,
13171900,CASILLA,AD172TT,SET 4,,,,,,,,
13171897,CASILLA,AD234MI,SET 4,,,,,,,,
13171898,CASILLA,AD234MK,SET 4,,,,,,,,
13171899,CASILLA,AD234MM,SET 4,,,,,,,,
13171896,CASILLA,AD234MR,SET 4,,,,,,,,
12319852,CASILLA,NAZ414,SET 4,,,,,,,,
12725935,CASILLA,OVT594,SET 4,,,,,,,,
12753013,CASILLA,OXO360,SET 4,,,,,,,,
12753014,CASILLA,OZQ602,SET 4,,,,,,,,
12753016,CASILLA,OZQ605,SET 4,,,,,,,,
12753018,CASILLA,PCW702,SET 4,,,,,,,,
12753017,CASILLA,PDH604,SET 4,,,,,,,,
12753015,CASILLA,PDH605,SET 4,,,,,,,,
12824831,CASILLA,PLH315,SET 4,,,,,,,,
12824829,CASILLA,PLH317,SET 4,,,,,,,,
12824830,CASILLA,PMH160,SET 4,,,,,,,,
12333061,CASILLA,NDB127,SET 4,,,,,,,,
13083850,CASILLA,AC819KN,,,,,,,,,
13083849,CASILLA,AC819KO,,,,,,,,,
13083848,CASILLA,AC819KP,,,,,,,,,
13171900,CASILLA,AD172TT,,,,,,,,,
13171897,CASILLA,AD234MI,,,,,,,,,
13171898,CASILLA,AD234MK,,,,,,,,,
13171899,CASILLA,AD234MM,,,,,,,,,
13171896,CASILLA,AD234MR,,,,,,,,,
12319852,CASILLA,NDB126,,,,,,,,,
12725935,CASILLA,OVT594,,,,,,,,,
12753013,CASILLA,OXO360,,,,,,,,,
12753014,CASILLA,OZQ602,,,,,,,,,
12753016,CASILLA,OZQ605,,,,,,,,,
12753018,CASILLA,PCW702,,,,,,,,,
12753017,CASILLA,PDH604,,,,,,,,,
12753015,CASILLA,PDH605,,,,,,,,,
12824831,CASILLA,PLH315,,,,,,,,,
12824829,CASILLA,PLH317,,,,,,,,,
12824830,CASILLA,PMH160,,,,,,,,,
12333061,CASILLA,NDB127,,,,,,,,,
12804988,CISTERNA,PLO452,SET 1,,,,,,,,
11063526,CISTERNA,HBQ978,SET 1,,,,,,,,
12804985,CISTERNA,PLO466,SET 3,,,,,,,,
12408196,CISTERNA,AD936EN,SET 3,,,,,,,,
12408193,CISTERNA,AD936EO,SET 3,,,,,,,,
12401471,CISTERNA,AD936EL,SET 3,,,,,,,,
12495577,FB4K,ORA323,SET 1,,,,,,,,
12593804,FB4K,AA157LZ,SET 1,,,,,,,,
11561859,FB4K,AD742RM,SET 2,,,,,,,,
11596851,FB4K,sin dominio,SET 2,,,,,,,,
11647334,FB4K,LZX352,SET 3,,,,,,,,
