Well Name,Stage #,Stage Time hrs,Total Stage Proppant,Total Stage Volume bbl,Avg Stage Pressure,Avg Stage Rate,Max Stage Pressure,Max Stage Rate bpm,Avg HHP
XOM.Nq.BdC-50(h),6,1.9,832600,17302.14286,11390,102.5,11840,104,28607.57167
YPF LCav-101,37,1.483333333,532200,8132.785714,10728,108,11000,110,28390.68856
YPF LCav-98,35,1.533333333,531900,8433.404762,10886,106,11040,107,28275.32468
YPF LCav-100,42,1.5,529000,8102.928571,10700,107,11100,108,28054.39843
XOM.Nq.BdC-48(h),6,1.833333333,832800,16154.54762,11223,102,11494,103,28050.62485
YPF LCav-99,41,1.533333333,530000,8141.261905,10726,106,10900,107,27859.74026
XOM.Nq.BdC-46(h),9,1.383333333,832600,13819.14286,11005.5,103,11986,106,27776.68464
XOM.Nq.BdC-50(h),14,1.733333333,832800,8912.952381,10895,104,11447,105,27764.76354
XOM.Nq.BdC-49(h),3,1.75,835700,17489,11365,99.5,11971,105,27709.3237
XOM.Nq.BdC-50(h),5,2.383333333,832600,17314.38095,10957,103,11330,105,27654.27591
XOM.Nq.BdC-48(h),24,1.35,419300,7041.97619,10845,104,11405,105,27637.34379
YPF LCav-101,41,1.416666667,532500,8257.690476,10250,110,10830,110,27628.03235
XOM.Nq.BdC-45(h),25,1.216666667,416600,7110.97619,10945,103,11187,105,27623.98922
XOM.Nq.BdC-47(h),21,1.516666667,832500,14544.04762,10945,103,11684,105,27623.98922
XOM.Nq.BdC-49(h),16,1.383333333,832600,14670.09524,10837,104,11210,105,27616.95663
XOM.Nq.BdC-48(h),4,2.7,832600,19049.71429,11261,100,11646,104,27593.72703
XOM.Nq.BdC-48(h),7,1.633333333,832700,16184.04762,11250,100,11909,103,27566.77285
XOM.Nq.BdC-50(h),23,1.383333333,416400,6984.785714,10790,104,11245,105,27497.18206
YPF LCav-840,27,1.483333333,534200,8335.214286,10670,105,11250,109,27452.83019
YPF LCav-99,40,1.55,534600,8747.214286,10373,108,11048,110,27451.21294
XOM.Nq.BdC-47(h),3,1.483333333,832600,16744.38095,10866,103,11503,105,27424.60181
XOM.Nq.BdC-46(h),16,1.366666667,416300,6876.047619,10971,101.9,11392,103.5,27393.8961
XOM.Nq.BdC-47(h),23,1.35,416400,7113.738095,10745,104,11225,104,27382.50429
YPF LCav-100,35,1.45,532500,8255.333333,10440,107,11200,110,27372.70277
XOM.Nq.BdC-47(h),14,1.95,832800,16603.71429,11142,100,11573,104,27302.13183
YPF LCav-99,35,1.416666667,531300,7971.97619,10400,107,11300,108,27267.82651
YPF LCav-100,34,1.55,532400,8690.547619,10496,106,11050,109,27262.33766
XOM.Nq.BdC-48(h),14,1.583333333,832700,15945.90476,11123,100,11392,105,27255.57461
XOM.Nq.BdC-49(h),36,1.216666667,300900,6045.97619,10796,103,11338,105,27247.92943
XOM.Nq.BdC-47(h),18,1.416666667,832600,14338.54762,11005,101,12045,105,27236.09409
XOM.Nq.BdC-49(h),15,1.466666667,832600,14159.45238,10895,102,11454,105,27230.82578
XOM.Nq.BdC-45(h),1,2.083333333,832800,17334.69048,11391.5,97.5,11700,99,27215.66405
XOM.Nq.BdC-47(h),16,1.7,832700,16110.78571,10985,101,11251,105,27186.59642
XOM.Nq.BdC-47(h),49,1.433333333,416400,6981.261905,10761,103,11637,104,27159.59324
XOM.Nq.BdC-45(h),8,1.583333333,832700,16446,11195,99,11790,102,27157.68194
XOM.Nq.BdC-48(h),22,1.333333333,416400,6982.952381,10653,104,11167,105,27148.05195
XOM.Nq.BdC-47(h),38,1.55,416200,7559.428571,10561,104.9,11286,105,27146.50576
XOM.Nq.BdC-47(h),41,1.45,376400,16520,10548,105,11246,105,27138.93654
XOM.Nq.BdC-47(h),43,1.266666667,416400,6892.333333,10546,105,11122,105,27133.79074
XOM.Nq.BdC-48(h),42,1.35,371200,6292.785714,10615,104,11139,104,27051.21294
YPF LCav-99,30,1.8,533700,8403.285714,10601,104,11275,110,27015.53541
XOM.Nq.BdC-47(h),5,1.45,648657,14800.61905,11597,95,12033,102,26996.20191
XOM.Nq.BdC-45(h),6,2.333333333,968200,17243.19048,11353,97,11896,99,26984.58711
