Material,Plant,Storage Location,Movement type,Special Stock,Material Document,Material Doc.Item,Posting Date,Qty in unit of entry,Unit of Entry,Order,Cost Center
13574,1608,1117,961,,6911935057,2,5/2/2022,-2.00,EA,323742649,
13597,1608,1117,961,,6912402761,14,6/7/2022,-3.00,EA,323859051,
13597,1608,1117,961,,6912289501,6,5/30/2022,-4.00,EA,323769478,
13597,1608,1117,961,,6912252171,2,5/26/2022,-3.00,EA,323833237,
13597,1608,1117,961,,6912171351,3,5/19/2022,-2.00,EA,323769478,
13597,1608,1117,961,,6911961689,8,5/3/2022,-3.00,EA,323742649,
13597,1608,1117,961,,6911935010,13,5/2/2022,-5.00,EA,323742649,
13597,1608,1117,961,,6911914112,9,4/29/2022,-3.00,EA,323649799,
13597,1608,1117,961,,6911819913,13,4/23/2022,-5.00,EA,323649825,
13597,1608,1117,961,,6911704453,3,4/14/2022,-10.00,EA,323649799,
13597,1608,1117,961,,6911650669,5,4/11/2022,-5.00,EA,323649825,
13597,1608,1117,961,,6910304595,14,1/3/2022,-4.00,EA,323278358,
15964,1608,1117,961,,6912363258,4,6/3/2022,-2.00,EA,323863749,
15964,1608,1117,961,,6912348344,3,6/2/2022,-2.00,EA,323854319,
15964,1608,1111,961,,6912280832,2,5/28/2022,-2.00,EA,323842118,
15964,1608,1117,961,,6912050984,4,5/11/2022,-2.00,EA,323780783,
15964,1608,1111,961,,6912045512,2,5/10/2022,-2.00,EA,323779554,
15964,1608,1111,961,,6911957089,2,5/3/2022,-4.00,EA,323753426,
15964,1608,1111,961,,6911957180,2,5/3/2022,-2.00,EA,323753424,
15964,1608,1117,961,,6911650664,5,4/11/2022,-1.00,EA,323678383,
15964,1608,1117,961,,6911589752,1,4/6/2022,-4.00,EA,323660909,
15964,1608,1111,961,,6911547231,1,4/2/2022,-2.00,EA,323651317,
15964,1608,1117,961,,6911547422,5,4/2/2022,-2.00,EA,323649505,
15964,1608,1111,961,,6911456560,1,3/28/2022,-2.00,EA,323606483,
15964,1608,1117,961,,6911377275,5,3/22/2022,-2.00,EA,323608876,
15964,1608,1111,961,,6911368576,1,3/21/2022,-2.00,EA,323606483,
15964,1608,1111,961,,6911302675,2,3/15/2022,-3.00,EA,323581351,
15964,1608,1111,961,,6911175344,1,3/6/2022,-2.00,EA,323550083,
15964,1608,1117,961,,6911173133,6,3/5/2022,-2.00,EA,323550897,
15964,1608,1117,961,,6911136495,1,3/2/2022,-2.00,EA,323541295,
15964,1608,1117,961,,6910955423,3,2/18/2022,-2.00,EA,323497202,
15964,1608,1117,961,,6910867162,1,2/12/2022,-2.00,EA,323469083,
15964,1608,1117,961,,6910752097,2,2/4/2022,-1.00,EA,323439397,
15964,1608,1117,961,,6910720980,1,2/1/2022,-1.00,EA,323416151,
15964,1608,1111,961,,6910686894,2,1/31/2022,-2.00,EA,323425505,
15964,1608,1117,961,,6910663193,1,1/29/2022,-1.00,EA,323416151,
15964,1608,1111,961,,6910566465,1,1/23/2022,-4.00,EA,323396459,
15964,1608,1111,961,,6910456703,4,1/14/2022,-4.00,EA,323366648,
15964,1608,1111,961,,6910371949,4,1/8/2022,-4.00,EA,323344143,
15964,1608,1111,961,,6910325765,1,1/5/2022,-4.00,EA,323333749,
62718,1608,1117,961,,6911310511,1,3/16/2022,-1.00,EA,323539894,
62718,1608,1117,961,,6911137842,1,3/3/2022,-1.00,EA,323539894,
62718,1608,1117,961,,6910738374,1,2/3/2022,-1.00,EA,323429270,
