Selected line,Order,Equipment,Description of Technical Object,Description,Basic start date,Order Type,Cost Center,System Condition,Basic finish date,Plant,Total actual costs,User Status,System status,Scheduled start,Assembly,Description of assembly,Created on,Notification
,317015566,11970698,TRLR PUMP HT2000 2000 HHP,316775283 Perd. Aceite Polea motriz,4/17/2021,RPM,6004510016,,8/1/2021,1600,"545,388.97",,TECO ESTC NMAT PRC  SETC,4/17/2021,ENGINE GRP,Engine grp,11/15/2017,25777534
,317348767,11905678,TRLR PUMP HT2000 2000 HHP DUAL FUEL,mantenimiento fluid end HT 11905678,1/29/2018,RPM,6004510016,,1/29/2018,1600,"124,645.61",,TECO PRT  GMPS MANC PRC  SETC,1/29/2018,FLUID END-REPACK,Fluid end-repack,1/29/2018,26083413
,317774662,12483258,TRLR TRANSPT DRY BULK TRIDEN 1300 CF FT3,Manguerotes para arena/ Reforma de desca,4/23/2018,RPM,6004510016,,4/23/2018,1600,"76,475.00",,TECO ESTC MACM PRC  SETC,4/23/2018,,,4/23/2018,26463000
,317845950,12231108,TRLR MANF HEADER HP,Certificacion Manifold 90 Dias,5/7/2018,CERT,6004510016,,5/7/2018,1600,"268,621.39",,TECO ESTC GMPS MACM PRC  SETC,5/7/2018,,,5/7/2018,26527638
,317847105,12363088,TRK TRANSPT IRON W\CRANE,Complemento de Equipamiento,5/7/2018,CERT,6004510016,,5/7/2018,1600,"438,882.61",,TECO ESTC GMPS MACM PRC  SETC,5/7/2018,,,5/7/2018,26528728
,317918471,12694766,TRLR MANF HEADER HP,Valvulas manifold baja,5/21/2018,RPM,6004510016,,5/21/2018,1600,"15,748.55",,TECO ESTC GMPS MACM PRC  SETC,5/21/2018,,,5/21/2018,26593051
,318010739,,,fabricacion de lonas para sala de bomba,6/8/2018,RPM,6004510016,,6/8/2018,1600,"38,413.22",,TECO MACM PRC  SETC,6/8/2018,,,6/8/2018,26677305
,318030683,,,Compra de Oring de HT2000,6/12/2018,RPM,6004510016,,6/12/2018,1600,"27,117.00",,TECO ESTC MANC PRC  SETC,6/12/2018,,,6/12/2018,26695125
,318120111,12622230,TRLR PUMP HT2000 2000 HHP,Mantenimiento HT 12622230,6/30/2018,RPM,6004510016,,6/30/2018,1600,"9,205.49",,TECO GMPS MACM PRC  SETC,6/30/2018,FLUID END-REPACK,Fluid end-repack,6/30/2018,26775878
,318178517,11541416,TRLR MANF HEADER HP,Certificacion 90 dias,7/12/2018,CERT,6004510016,,7/12/2018,1600,"164,662.61",,TECO ESTC GMPS MACM PRC  SETC,7/12/2018,DISCHG IRON CERT,DISCHARGE IRON CERTIFICATION,7/12/2018,26827749
,318179657,12363088,TRK TRANSPT IRON W\CRANE,Mantenimiento Iron,7/12/2018,CERT,6004510016,,7/12/2018,1600,"402,599.27",,TECO ESTC GMPS MACM PRC  SETC,7/12/2018,DISCHG IRON CERT,DISCHARGE IRON CERTIFICATION,7/12/2018,26828946
,318186974,12363088,TRK TRANSPT IRON W\CRANE,complemento de DME,7/13/2018,CERT,6004510016,,7/13/2018,1600,"624,906.26",,TECO ESTC GMPS MSPT PRC  SETC,7/13/2018,DISCHARGE IRON GRP,Discharge iron grp,7/13/2018,26834949
,318216218,12585212,TRK TRANSPT IRON W\CRANE,reemplazo valvula relief,7/19/2018,CERT,6004510016,,7/19/2018,1600,"145,116.59",,TECO ESTC GMPS MSPT PRC  SETC,7/19/2018,IRON/HOSE RACK,Iron/hose rack,7/19/2018,26861786
,318280602,,,Mantenimiento de valvulas HCL,7/31/2018,RPM,6004510016,,7/31/2018,1600,"12,737.90",,TECO ESTC GMPS MACM PRC  SETC,7/31/2018,MANUAL VALVE,MANUAL VALVE,7/31/2018,26920121
,318310605,11280758,TRK MECHANIC SERVICE,Reparacion en llave de encendido,8/6/2018,RPM,6004510016,,8/6/2018,1600,"3,250.00",,TECO NMAT PRC  SETC,8/6/2018,,,8/6/2018,26948208
,318330078,12585212,TRK TRANSPT IRON W\CRANE,Mantenimiento Iron,8/9/2018,CERT,6004510016,,8/9/2018,1600,"957,664.97",,TECO ESTC GMPS MACM PRC  SETC,8/9/2018,DISCHARGE IRON GRP,Discharge iron grp,8/9/2018,26964587
,318337723,12363088,TRK TRANSPT IRON W\CRANE,complemento de DME,8/10/2018,CERT,6004510016,,8/10/2018,1600,"1,389,820.23",,TECO GMPS MACM PRC  SETC,8/10/2018,DISCHARGE IRON GRP,Discharge iron grp,8/10/2018,26972001
,318355492,12190796,TRLR STRG 4000CF PIG TANK,"Acoples 4""para sistema descarga Arena",8/14/2018,RPM,6004510016,,8/14/2018,1600,"24,466.60",,TECO ESTC MACM PRC  SETC,8/14/2018,TNK SAND ACC'S,Tank sand acc's,8/14/2018,26987386
,318355984,12385723,TRLR STRG 4000CF PIG TANK,"Acoples 4""para sistema descarga Arena",8/14/2018,RPM,6004510016,,8/14/2018,1600,"24,466.60",,TECO ESTC MACM PRC  SETC,8/14/2018,TNK SAND ACC'S,Tank sand acc's,8/14/2018,26988036
,318355997,12190798,TRLR STRG 4000CF PIG TANK,"Acople rapidos 4"" sistema de carga y des",8/14/2018,RPM,6004510016,,8/14/2018,1600,"24,466.60",,TECO ESTC MACM PRC  SETC,8/14/2018,TNK SAND ACC'S,Tank sand acc's,8/14/2018,26988046
,318356047,12190793,TRLR STRG 4000CF PIG TANK,"Acople rapidos 4"" sistema de carga y des",8/14/2018,RPM,6004510016,,8/14/2018,1600,"24,466.60",,TECO ESTC MACM PRC  SETC,8/14/2018,,,8/14/2018,26988144
,318356676,12190797,TRLR STRG 4000CF PIG TANK,"Acople rapidos 4"" sistema de carga y des",8/14/2018,RPM,6004510016,,8/14/2018,1600,"24,466.60",,TECO ESTC MACM PRC  SETC,8/14/2018,TNK SAND ACC'S,Tank sand acc's,8/14/2018,26988659
,318356681,12385722,TRLR STRG 4000CF PIG TANK,"Acople rapidos 4"" sistema de carga y des",8/14/2018,RPM,6004510016,,8/14/2018,1600,"24,466.60",,TECO ESTC MACM PRC  SETC,8/14/2018,TNK SAND ACC'S,Tank sand acc's,8/14/2018,26988662
,318361577,,,Mangueras succ adit liq,8/15/2018,RPM,6004510016,,8/15/2018,1600,"55,413.71",,TECO ESTC MACM PRC  SETC,8/15/2018,LIQ ADD PUMP SYS,Liq add pump sys,8/15/2018,26992574
,318393093,12363088,TRK TRANSPT IRON W\CRANE,complemento de DME,8/21/2018,CERT,6004510016,,8/21/2018,1600,"404,514.16",,TECO ESTC GMPS MACM PRC  SETC,8/21/2018,DISCHARGE IRON GRP,Discharge iron grp,8/21/2018,27021659
,318397259,11501080,TRLR PUMP Q10-X 2000 HHP CVRSN,318194791 colocar paragolpe s/legislacio,4/17/2021,RPM,6004510016,,8/1/2021,1600,0.00,,TECO ESTC NMAT PRC  SETC,4/17/2021,SAFETY GRP,Safety grp,8/22/2018,27028002
,318404162,12244552,TRLR TRANSPT LOWBOY 2 AXLE,Orificio para sector de pruebas,8/23/2018,RPM,6004510016,,8/23/2018,1600,"7,680.88",,TECO ESTC GMPS MACM PRC  SETC,8/23/2018,IRON HIGH PRESSURE,Iron high pressure,8/23/2018,27032140
,318409670,,,"Manguera R12 1 1/2"" TEST HT2000",8/24/2018,RPM,6004510016,,8/24/2018,1600,"14,220.36",,TECO ESTC MACM PRC  SETC,8/24/2018,HOSES,HOSES,8/24/2018,27037962
,318448698,12585212,TRK TRANSPT IRON W\CRANE,complemento de DME,8/31/2018,CERT,6004510016,,8/31/2018,1600,"-51,602.45",,TECO ESTC GMPS MACM PRC  SETC,8/31/2018,DISCHARGE IRON GRP,Discharge iron grp,8/31/2018,27072420
,318463039,12585212,TRK TRANSPT IRON W\CRANE,complemento de DME,9/3/2018,CERT,6004510016,,9/3/2018,1600,"1,157,448.96",,TECO ESTC GMPS MSPT PRC  SETC,9/3/2018,DISCHARGE IRON GRP,Discharge iron grp,9/3/2018,27085601
,318468636,12244546,TRAC HYD START 6X4 SLPR,DEFER A-28)Toma fuerza rota,8/1/2021,RPM,6004510016,,12/31/2021,1600,"1,503.76",,TECO PCNF ESTC NMAT PRC  SETC,8/1/2021,STEERING GRP,Steering grp,9/4/2018,32119743
,318468637,12244546,TRAC HYD START 6X4 SLPR,[R]A-133)Juego excesivo en yugo entrada,1/1/2022,RPM,6004510016,,3/31/2022,1600,0.00,,CRTD ESTC MANC NMAT PRC,1/1/2022,TRANS-MANUAL GRP,transmission-manual grp,9/4/2018,
,318468639,12244546,TRAC HYD START 6X4 SLPR,[R]A-110)Faltan loderas traseras,1/1/2022,RPM,6004510016,,3/31/2023,1600,0.00,,CRTD ESTC MANC NMAT PRC,1/1/2022,TIRE GRP,Tire grp,9/4/2018,
